ResponseId	Moral_DIL	Age_correct	Attention_check	CCA	Duration	Heure_TOT	AOT_TOT	Narc_TOT	Mach_TOT	Psych_TOT	CRT_TOT	Num_TOT	Outcome	Study	Duration.min	Moral_SCA	Moral_CAR	SleepEfficiency.criteria
51_S2		1	1	1	790	12.6666666666667	25	29	26	24	1	1	Scale	2	150	30		
52_S2		1	1	1	364	12.6833333333333	24	19	24	10	5	1	Scale	2	150	34		
53_S2		1	1	1	1082	12.6833333333333	24	27	27	27	7	3	Scale	2	150	33		
54_S2		1	1	1	1544	11.7166666666667	30	21	22	20	7	3	Scale	2	150	39		
56_S2		1	1	1	478	12.7166666666667	22	29	31	15	3	3	Scale	2	150	39		
57_S2		1	1	1	335	11.7333333333333	23	33	35	27	2	0	Scale	2	150	29		
58_S2		1	1	1	836	12.7333333333333	22	33	39	34	0	1	Scale	2	150	28		
59_S2		1	1	1	426	11	36	27	20	30	6	0	Scale	2	150	36		
60_S2		1	1	1	431	12.75	29	21	29	25	6	3	Scale	2	150	32		
61_S2		1	1	1	530	11.75	26	20	27	22	2	3	Scale	2	150	40		
62_S2		1	1	1	347	12.75	37	16	21	20	6	3	Scale	2	150	36		
63_S2		1	1	1	231	9.76666666666667	39	23	31	11	6	3	Scale	2	150	32		
64_S2		1	1	1	415	11.3333333333333	22	30	36	36	5	3	Scale	2	150	31		
66_S2		1	1	1	248	12.85	39	17	16	12	7	3	Scale	2	150	36		
67_S2		1	1	1	638	12.85	21	26	33	36	4	2	Scale	2	150	29		
69_S2		1	1	1	746	11.8833333333333	23	34	39	34	0	0	Scale	2	150	32		
70_S2		1	1	1	252	12.9	23	9	18	9	2	0	Scale	2	150	34		
71_S2		1	1	1	386	9.9	32	27	32	21	7	3	Scale	2	150	32		
72_S2		1	1	1	426	12.9166666666667	27	23	38	22	2	3	Scale	2	150	38		
73_S2		1	1	1	566	9.95	25	27	29	26	5	2	Scale	2	150	29		
74_S2		1	1	1	347	12.95	23	32	38	33	4	3	Scale	2	150	27		
75_S2		1	1	1	665	13.0333333333333	40	15	17	12	7	3	Scale	2	150	37		
76_S2		1	1	1	534	11.25	37	27	33	18	1	3	Scale	2	150	40		
77_S2		1	1	1	331	13.0833333333333	36	9	35	10	7	3	Scale	2	150	38		
78_S2		1	1	1	811	13.0833333333333	25	31	36	30	2	2	Scale	2	150	32		
79_S2		1	1	1	328	12	17	20	19	22	1	2	Scale	2	150	33		
80_S2		1	1	1	1174	10	24	32	39	32	2	3	Scale	2	150	32		
81_S2		1	1	1	277	12	23	25	31	29	1	3	Scale	2	150	31		
82_S2		1	1	1	358	13.15	25	28	34	36	1	0	Scale	2	150	34		
83_S2		1	1	1	475	10.2166666666667	38	19	37	17	7	3	Scale	2	150	36		
84_S2		1	1	1	510	13	25	29	31	33	1	1	Scale	2	150	33		
85_S2		1	1	1	724	13.3166666666667	37	11	24	14	6	3	Scale	2	150	33		
86_S2		1	1	1	368	10.3	24	31	37	37	1	0	Scale	2	150	40		
87_S2		1	1	1	450	13.3333333333333	34	17	23	18	6	3	Scale	2	150	38		
88_S2		1	1	1	2940	12.7833333333333	26	31	35	34	0	1	Scale	2	150	35		
89_S2		1	1	1	362	12	23	26	30	28	3	3	Scale	2	150	32		
91_S2		1	1	1	488	12.3833333333333	30	23	29	23	6	3	Scale	2	150	32		
92_S2		1	1	1	665	13.4	29	19	23	23	6	3	Scale	2	150	38		
93_S2		1	1	1	202	12.4333333333333	23	31	28	28	0	2	Scale	2	150	33		
94_S2		1	1	1	1027	13	31	23	25	20	7	3	Scale	2	150	44		
95_S2		1	1	1	427	10.45	22	30	37	33	0	2	Scale	2	150	29		
96_S2		1	1	1	382	12.5	34	13	31	15	7	3	Scale	2	150	33		
98_S2		1	1	1	826	13.5666666666667	27	16	28	18	6	3	Scale	2	150	35		
